INSERT INTO `alerts` (`AlertID`, `CareTeamID`, `Content`, `Timestamp`) VALUES
(45,1045,'Care Team #1045 has moved into the next phase!',1403388105),
(46,1046,'Care Team #1046 has moved into the next phase!',1402940853),
(47,1047,'Care Team #1047 has moved into the next phase!',1403410696),
(48,1048,'Care Team #1048 has moved into the next phase!',1403145837),
(49,1049,'Care Team #1049 has moved into the next phase!',1403407355),
(50,1050,'Care Team #1050 has moved into the next phase!',1403079466),
(51,1051,'Care Team #1051 has moved into the next phase!',1403399216),
(52,1052,'Care Team #1052 has moved into the next phase!',1403220662),
(53,1053,'Care Team #1053 has moved into the next phase!',1402930609),
(54,1054,'Care Team #1054 has moved into the next phase!',1403240651),
(55,1055,'Care Team #1055 has moved into the next phase!',1403123430),
(56,1056,'Care Team #1056 has moved into the next phase!',1403336056),
(57,1057,'Care Team #1057 has moved into the next phase!',1403171732),
(58,1058,'Care Team #1058 has moved into the next phase!',1402982031),
(59,1059,'Care Team #1059 has moved into the next phase!',1403082806),
(60,1060,'Care Team #1060 has moved into the next phase!',1402964866),
(61,1061,'Care Team #1061 has moved into the next phase!',1403100765),
(62,1062,'Care Team #1062 has moved into the next phase!',1403248495),
(63,1063,'Care Team #1063 has moved into the next phase!',1402946039),
(64,1064,'Care Team #1064 has moved into the next phase!',1403150931),
(65,1065,'Care Team #1065 has moved into the next phase!',1403367654),
(66,1066,'Care Team #1066 has moved into the next phase!',1403144250),
(67,1067,'Care Team #1067 has moved into the next phase!',1403145782),
(68,1068,'Care Team #1068 has moved into the next phase!',1403010049),
(69,1069,'Care Team #1069 has moved into the next phase!',1403266989),
(70,1070,'Care Team #1070 has moved into the next phase!',1403065881),
(71,1071,'Care Team #1071 has moved into the next phase!',1403115088),
(72,1072,'Care Team #1072 has moved into the next phase!',1403281773),
(73,1073,'Care Team #1073 has moved into the next phase!',1403161489),
(74,1074,'Care Team #1074 has moved into the next phase!',1402950894),
(75,1075,'Care Team #1075 has moved into the next phase!',1403290928),
(76,1076,'Care Team #1076 has moved into the next phase!',1403418559),
(77,1077,'Care Team #1077 has moved into the next phase!',1403310788),
(78,1078,'Care Team #1078 has moved into the next phase!',1403447592),
(79,1079,'Care Team #1079 has moved into the next phase!',1403192386),
(80,1080,'Care Team #1080 has moved into the next phase!',1403193235),
(81,1081,'Care Team #1081 has moved into the next phase!',1403055951),
(82,1082,'Care Team #1082 has moved into the next phase!',1402994102),
(83,1083,'Care Team #1083 has moved into the next phase!',1403303571),
(84,1084,'Care Team #1084 has moved into the next phase!',1403173707),
(85,1085,'Care Team #1085 has moved into the next phase!',1403402243),
(86,1086,'Care Team #1086 has moved into the next phase!',1403451043),
(87,1087,'Care Team #1087 has moved into the next phase!',1403069148),
(88,1088,'Care Team #1088 has moved into the next phase!',1402949565),
(89,1089,'Care Team #1089 has moved into the next phase!',1403040263),
(90,1090,'Care Team #1090 has moved into the next phase!',1403365181),
(91,1091,'Care Team #1091 has moved into the next phase!',1403337255),
(92,1092,'Care Team #1092 has moved into the next phase!',1402951078),
(93,1093,'Care Team #1093 has moved into the next phase!',1402943991),
(94,1094,'Care Team #1094 has moved into the next phase!',1402999565),
(95,1095,'Care Team #1095 has moved into the next phase!',1403138325),
(96,1096,'Care Team #1096 has moved into the next phase!',1403301947),
(97,1097,'Care Team #1097 has moved into the next phase!',1402932806),
(98,1098,'Care Team #1098 has moved into the next phase!',1403231829),
(99,1099,'Care Team #1099 has moved into the next phase!',1403368208),
(100,1100,'Care Team #1100 has moved into the next phase!',1403126863),
(101,1101,'Care Team #1101 has moved into the next phase!',1403522010),
(102,1102,'Care Team #1102 has moved into the next phase!',1403102168),
(103,1103,'Care Team #1103 has moved into the next phase!',1403030813),
(104,1104,'Care Team #1104 has moved into the next phase!',1403432365),
(105,1105,'Care Team #1105 has moved into the next phase!',1403101503),
(106,1106,'Care Team #1106 has moved into the next phase!',1403514757),
(107,1107,'Care Team #1107 has moved into the next phase!',1403027472),
(108,1108,'Care Team #1108 has moved into the next phase!',1403071455),
(109,1109,'Care Team #1109 has moved into the next phase!',1403162301),
(110,1110,'Care Team #1110 has moved into the next phase!',1403124778),
(111,1111,'Care Team #1111 has moved into the next phase!',1403148569),
(112,1112,'Care Team #1112 has moved into the next phase!',1403006560),
(113,1113,'Care Team #1113 has moved into the next phase!',1403143382),
(114,1114,'Care Team #1114 has moved into the next phase!',1402987236),
(115,1115,'Care Team #1115 has moved into the next phase!',1403020809),
(116,1116,'Care Team #1116 has moved into the next phase!',1402937955),
(117,1117,'Care Team #1117 has moved into the next phase!',1403061784),
(118,1118,'Care Team #1118 has moved into the next phase!',1402975608),
(119,1119,'Care Team #1119 has moved into the next phase!',1402947239),
(120,1120,'Care Team #1120 has moved into the next phase!',1403093161),
(121,1121,'Care Team #1121 has moved into the next phase!',1403360991),
(122,1122,'Care Team #1122 has moved into the next phase!',1403522250),
(123,1123,'Care Team #1123 has moved into the next phase!',1403297757),
(124,1124,'Care Team #1124 has moved into the next phase!',1403106893),
(125,1125,'Care Team #1125 has moved into the next phase!',1403205749),
(126,1126,'Care Team #1126 has moved into the next phase!',1402946815),
(127,1127,'Care Team #1127 has moved into the next phase!',1403225221),
(128,1128,'Care Team #1128 has moved into the next phase!',1403529319),
(129,1129,'Care Team #1129 has moved into the next phase!',1402988251),
(130,1130,'Care Team #1130 has moved into the next phase!',1403319130),
(131,1131,'Care Team #1131 has moved into the next phase!',1403413095),
(132,1132,'Care Team #1132 has moved into the next phase!',1403101872),
(133,1133,'Care Team #1133 has moved into the next phase!',1403201854),
(134,1134,'Care Team #1134 has moved into the next phase!',1403027121),
(135,1135,'Care Team #1135 has moved into the next phase!',1403347942),
(136,1136,'Care Team #1136 has moved into the next phase!',1403386314),
(137,1137,'Care Team #1137 has moved into the next phase!',1403027767),
(138,1138,'Care Team #1138 has moved into the next phase!',1403511527),
(139,1139,'Care Team #1139 has moved into the next phase!',1403266306),
(140,1140,'Care Team #1140 has moved into the next phase!',1403000045),
(141,1141,'Care Team #1141 has moved into the next phase!',1403492073),
(142,1142,'Care Team #1142 has moved into the next phase!',1403499382),
(143,1143,'Care Team #1143 has moved into the next phase!',1403083323),
(144,1144,'Care Team #1144 has moved into the next phase!',1403324815),
(145,1145,'Care Team #1145 has moved into the next phase!',1403418208),
(146,1146,'Care Team #1146 has moved into the next phase!',1403359662),
(147,1147,'Care Team #1147 has moved into the next phase!',1403009439),
(148,1148,'Care Team #1148 has moved into the next phase!',1403103570),
(149,1149,'Care Team #1149 has moved into the next phase!',1403313926),
(150,1150,'Care Team #1150 has moved into the next phase!',1403194804),
(151,1151,'Care Team #1151 has moved into the next phase!',1403001189);
