INSERT INTO `careTeamFacilities` (`PrimaryID`, `CareTeamID`, `FacilityID`) VALUES
(241,1084,113),
(242,1085,113),
(243,1085,111),
(244,1086,110),
(245,1086,102),
(246,1086,116),
(247,1086,120),
(248,1086,110),
(249,1087,121),
(250,1087,123),
(251,1087,112),
(252,1088,126),
(253,1089,112),
(254,1090,117),
(255,1090,120),
(256,1090,112),
(257,1090,106),
(258,1090,123),
(259,1091,101),
(260,1092,124),
(261,1092,129),
(262,1092,114),
(263,1092,116),
(264,1093,108),
(265,1093,123),
(266,1093,107),
(267,1093,108),
(268,1094,103),
(269,1095,113),
(270,1095,114),
(271,1096,108),
(272,1096,105),
(273,1096,128),
(274,1096,119),
(275,1097,107),
(276,1097,115),
(277,1098,115),
(278,1099,131),
(279,1099,128),
(280,1100,102),
(281,1100,119),
(282,1100,106),
(283,1100,100),
(284,1101,115),
(285,1101,104),
(286,1101,117),
(287,1101,110),
(288,1101,107),
(289,1102,118),
(290,1102,129),
(291,1102,101),
(292,1103,117),
(293,1103,117),
(294,1103,124),
(295,1103,104),
(296,1103,106),
(297,1104,108),
(298,1104,109),
(299,1104,128),
(300,1104,127),
(301,1104,118),
(302,1105,120),
(303,1105,109),
(304,1105,106),
(305,1105,122),
(306,1105,115),
(307,1106,100),
(308,1106,123),
(309,1106,105),
(310,1106,126),
(311,1106,101),
(312,1107,113),
(313,1107,117),
(314,1107,123),
(315,1108,117),
(316,1108,110),
(317,1108,128),
(318,1109,107),
(319,1109,127),
(320,1109,130),
(321,1110,128),
(322,1110,113),
(323,1110,119),
(324,1111,118),
(325,1111,107),
(326,1112,124),
(327,1112,124),
(328,1112,114),
(329,1112,127),
(330,1112,107),
(331,1113,120),
(332,1113,109),
(333,1113,127),
(334,1113,118),
(335,1114,109),
(336,1114,124),
(337,1114,123),
(338,1114,128),
(339,1115,127),
(340,1115,124),
(341,1115,127),
(342,1116,100),
(343,1116,125),
(344,1116,108),
(345,1116,118),
(346,1117,113),
(347,1117,118),
(348,1117,116),
(349,1118,128),
(350,1118,127),
(351,1119,106),
(352,1120,116),
(353,1120,112),
(354,1120,119),
(355,1120,113),
(356,1121,123),
(357,1121,103),
(358,1121,102),
(359,1122,120),
(360,1122,127),
(361,1122,103),
(362,1122,126),
(363,1122,109),
(364,1123,111),
(365,1123,112),
(366,1124,112),
(367,1125,116),
(368,1125,119),
(369,1125,113),
(370,1125,120),
(371,1126,109),
(372,1126,112),
(373,1127,118),
(374,1128,101),
(375,1128,116),
(376,1129,117),
(377,1129,115),
(378,1129,100),
(379,1129,126),
(380,1129,102),
(381,1130,120),
(382,1131,108),
(383,1131,104),
(384,1132,118),
(385,1132,129),
(386,1132,131),
(387,1132,104),
(388,1133,105),
(389,1133,119),
(390,1133,110),
(391,1133,106),
(392,1133,101),
(393,1134,111),
(394,1135,110),
(395,1136,109),
(396,1136,115),
(397,1136,100),
(398,1136,116),
(399,1136,128),
(400,1137,114),
(401,1137,131),
(402,1137,100),
(403,1138,116),
(404,1138,118),
(405,1138,109),
(406,1139,106),
(407,1139,117),
(408,1139,121),
(409,1140,122),
(410,1140,127),
(411,1140,124),
(412,1140,110),
(413,1141,130),
(414,1141,107),
(415,1141,127),
(416,1141,106),
(417,1142,127),
(418,1143,126),
(419,1143,125),
(420,1143,118),
(421,1143,123),
(422,1143,121),
(423,1144,120),
(424,1144,113),
(425,1144,131),
(426,1145,123),
(427,1145,111),
(428,1145,100),
(429,1145,121),
(430,1146,116),
(431,1146,131),
(432,1146,130),
(433,1146,121),
(434,1146,113),
(435,1147,108),
(436,1147,113),
(437,1147,122),
(438,1147,110),
(439,1148,108),
(440,1148,129),
(441,1148,120),
(442,1148,112),
(443,1148,100),
(444,1149,102),
(445,1150,126),
(446,1150,116),
(447,1150,113),
(448,1150,101),
(449,1151,118);
